year,constituency,constituency_type,candidates,party,vote_count,vote_percentage
2015,Ang Mo Kio,GRC,Goh Keow Wah | Jesse Loo Hoe Bock | Roy Ngerng Yi Ling | Osman Sulaiman | M Ravi | Siva Chandran\,RP,36758,0.2136
2015,Bishan - Toa Payoh,GRC,Chee Hong Tat | Chong Kee Hiong | Ng Eng Hen | Saktiandi Bin Supaat | Josephine Teo,PAP,86701,0.7359
2015,Bishan - Toa Payoh,GRC,"Law Kim Hwee | Long YaoGuang, Don Bryan | Mohamad Abdillah Bin Zamzuri | Mohamad Hamim Bin Aliyas | Pwee Yek Kwan Benjamin",SPP,31108,0.2641
2015,Bukit Batok,SMC,David Ong Kim Huat,PAP,18234,0.7302
2015,Bukit Batok,SMC,Sadasivam V,SDP,6588,0.2638
2015,Bukit Batok,SMC,Samir Salim Neji,Independent,150,0.006
2015,Bukit Panjang,SMC,Khung Wai Yeen,SDP,10152,0.3162
2015,Bukit Panjang,SMC,Teo Ho Pin,PAP,21954,0.6838
2015,Chua Chu Kang,GRC,Gan Kim Yong | Low Yen Ling | Yee Chia Hsing | Zaqy Mohamad,PAP,84850,0.7691
2015,Chua Chu Kang,GRC,Goh Meng Seng | Lee Tze Shih | Low Wai Choo | Syafarin Bin Sarif,PPP,25475,0.2309
2015,East Coast,GRC,Gerald Giam Yean Song | Daniel Goh Pei Siong | Mohamed Fairoz Bin Shariff | Leon Perera,WP,35622,0.3927
2015,East Coast,GRC,Lee Yi Shyan | Lim Swee Say | Mohd Maliki Bin Osman| Tan Soon Neo Jessica,PAP,55093,0.6073
2015,Fengshan,SMC,Cheryl Chan Wei Ling,PAP,12417,0.575
2015,Fengshan,SMC,Dennis Tan Lip Fong,WP,9176,0.425
2015,Holland - Bukit Timah,GRC,Chee Soon Juan| Chong Wai Fung | Md Sidek Bin Mallek| Paul Anatharajah Tambyah,SDP,31494,0.334
2015,Holland - Bukit Timah,GRC,Christopher De Souza | Liang Eng Hwa | Sim Ann | Vivian Balakrishnan,PAP,62786,0.666
2015,Hong Kah North,SMC,Amy Khor Lean Suan,PAP,19628,0.7476
2015,Hong Kah North,SMC,Ravi Philemon,SPP,6627,0.2524
2015,Hougang,SMC,Lee Hong Chuang,PAP,9565,0.4234
2015,Hougang,SMC,Png Eng Huat,WP,13027,0.5766
2015,Jalan Besar,GRC,Chan Sio Phing Frieda (Zeng Xiao Ping) | L Somasundaram | Redzwan Hafidz Abdul Razak | Sim Tian Hock (Shen TianFu),WP,30302,0.3225
2015,Jalan Besar,GRC,Heng Chee How | Lily Neo | Denise Phua Lay Peng | Yaacob Ibrahim,PAP,63644,0.6775
2015,Jurong,GRC,Ang Wei Neng | Desmond Lee | Rahayu Binte Mahzam | Tharman Shanmugaratnam | Tan Wu Meng,PAP,95228,0.7929
2015,Jurong,GRC,Foo Ming Jin David | Sukdeu Singh | Tan Peng Aann| Wong Chee Wai | Wong Soon Hong,SGF,24869,0.2071
2015,MacPherson,SMC,Chen JiaXi,WP,8833,0.3359
2015,MacPherson,SMC,Cheo Chai Chen,NSP,215,0.0082
2015,MacPherson,SMC,Tin Pei Ling,PAP,17251,0.656
2015,Marine Parade,GRC,Fatimah Binte Abdul Lateef | Goh Chok Tong | Seah Kian Peng | Tan Chuan-Jin | Tong Chun Fai Edwin Charles,PAP,85138,0.6407
2015,Marine Parade,GRC,Firuz Khan | He Tingru | Ng Foo Eng | Terence Tan | Yee Jenn Jong,WP,47753,0.3593
2015,Marsiling - Yew Tee,GRC,Damanhuri Bin Abas | Lim Boon Heng | Tan Liang Joo John | Wong Souk Yee,SDP,31185,0.3127
2015,Marsiling - Yew Tee,GRC,Halimah Yacob | Ong Teng Koon | Lawrence Wong | Alex Yam Ziming,PAP,68546,0.6873
2015,Mountbatten,SMC,Jeannette Chong - Aruldoss,SPP,6004,0.2814
2015,Mountbatten,SMC,Lim Biow Chuan,PAP,15331,0.7186
2015,Nee Soon,GRC,Foo Seck Guan | Gurmit Singh S/O Sadhu Singh | Koh Tiong Yee | Cheryl Loh Xiu Wen | Ron Tan Jun Yen,WP,40841,0.3317
2015,Nee Soon,GRC,K Shanmugam | Kwek Hian Chuan | Lee Bee Wah | Muhammad Faishal Ibrahim | Ng Kok Kwang Louis,PAP,82287,0.6683
2015,Pasir Ris - Punggol,GRC,Abu Bin Mohamed | Harminder Pal Singh S/O Gurcharan Singh | Lim Bak Chuan Desmond | Lim Tung Hee Arthero | Ong Teik Seng | Wong Way Weng,SDA,46550,0.2711
2015,Pasir Ris - Punggol,GRC,Janil Puthucheary | Ng Chee Meng | Sun XueLing | Teo Chee Hean | Teo Ser Luck | Zainal Bin Sapari,PAP,125166,0.7289
2015,Pioneer,SMC,Cedric Foo Chee Keng,PAP,18017,0.7635
2015,Pioneer,SMC,Ong Beng Soon Elvin,NSP,5581,0.2365
2015,Potong Pasir,SMC,Loh Woon Lee Lina,SPP,5368,0.3361
2015,Potong Pasir,SMC,Sitoh Yih Pin,PAP,10602,0.6639
2015,Punggol East,SMC,Charles Chong You Fook,PAP,16977,0.5177
2015,Punggol East,SMC,Lee Li Lian,WP,15818,0.4823
2015,Radin Mas,SMC,Han Hui Hui,Independent,2630,0.1003
2015,Radin Mas,SMC,Kumar S/O Appavoo,RP,3333,0.1272
2015,Radin Mas,SMC,Tan Chin Siong,PAP,20246,0.7725
2015,Sembawang,GRC,Abdul Rasheed S/O Y Abdul Kuthus | Lim Tong Zhen| Ng Chung Hon | Yadzeth Bin Hairis | Yeo Ren-Yuan,NSP,37087,0.2772
2015,Sembawang,GRC,Amrin Amin | Khaw Boon Wan | Lim Wee Kiak | Ong Ye Kung | Vikram Nair,PAP,96718,0.7228
2015,Sengkang West,SMC,Koh Choong Yong,WP,10721,0.3787
2015,Sengkang West,SMC,Lam Pin Min,PAP,17586,0.6213
2015,Tampines,GRC,Baey Yam Keng | Cheng Li Hui | Desmond Choo Pey Ching | Heng Swee Keat | Masagos Zulkifli,PAP,95305,0.7207
2015,Tampines,GRC,Choong Hon Heng | Fong Chin Leong | Lim Tean | Nor Lella Mardiiiah Bte Mohmed | Teo Kway Huang Sebastian,NSP,36943,0.2793
2015,Tanjong Pagar,GRC,Ang Yong Guan | Chirag Praful Desai | Chiu Weng Hoe Melvyn | Mohamad Fahmi Bin Ahmad Rais | Tan Jee Say,SGF,25998,0.2229
2015,Tanjong Pagar,GRC,Chan Chun Sing | Chia Shi-Lu | Indranee Thurai Rajah | Joan Pereira | Melvin Yong Yik Chye,PAP,90635,0.7771
2015,West Coast,GRC,Foo Mee Har | Lim Hng Kiang | Siswaran | Patrick Tay Teck Guan,PAP,71214,0.7857
2015,West Coast,GRC,Kenneth Andrew Jeyaretnam | Noraini Bte Yunus | Soh Guan Soon | Zhu LaiCheng,RP,19426,0.2143
2015,Yuhua,SMC,Grace Fu Hai Yien,PAP,15324,0.7355
2015,Yuhua,SMC,Go Hui Leng,SDP,5512,0.2645
2020,Aljunied,GRC,,PAP,57330,0.4005
2020,Aljunied,GRC,,WP,85815,0.5995
2020,Ang Mo Kio,GRC,,PAP,,0.7191
2020,Ang Mo Kio,GRC,,RP,,0.2809
2020,Bishan - Toa Payoh,GRC,,PAP,,0.6723
2020,Bishan - Toa Payoh,GRC,,SPP,,0.3277
2020,Bukit Batok,SMC,,PAP,,0.548
2020,Bukit Batok,SMC,,SDP,,0.452
2020,Bukit Panjang,SMC,,SDP,,0.4627
2020,Bukit Panjang,SMC,,PAP,,0.5373
2020,Chua Chu Kang,GRC,,PAP,,0.5864
2020,Chua Chu Kang,GRC,,PSP,,0.4136
2020,East Coast,GRC,,WP,,0.4661
2020,East Coast,GRC,,PAP,,0.5339
2020,Holland - Bukit Timah,GRC,,SDP,,0.3364
2020,Holland - Bukit Timah,GRC,,PAP,,0.6636
2020,Hong Kah North,SMC,,PAP,,0.6099
2020,Hong Kah North,SMC,,PSP,,0.3901
2020,Hougang,SMC,,PAP,,0.3879
2020,Hougang,SMC,,WP,,0.6121
2020,Jalan Besar,GRC,,PV,,0.3464
2020,Jalan Besar,GRC,,PAP,,0.6536
2020,Jurong,GRC,,PAP,,0.7461
2020,Jurong,GRC,,RDU,,0.2539
2020,Kebun Baru,SMC,,PSP,,0.3708
2020,Kebun Baru,SMC,,PAP,,0.6292
2020,MacPherson,SMC,,PPP,,0.2826
2020,MacPherson,SMC,,PAP,,0.7174
2020,Marine Parade,GRC,,PAP,,0.5774
2020,Marine Parade,GRC,,WP,,0.4226
2020,Marsiling - Yew Tee,GRC,,SDP,,0.3682
2020,Marsiling - Yew Tee,GRC,,PAP,,0.6318
2020,Marymount,SMC,,PSP,,0.4496
2020,Marymount,SMC,,PAP,,0.5504
2020,Mountbatten,SMC,,PV,,0.2618
2020,Mountbatten,SMC,,PAP,,0.7382
2020,Nee Soon,GRC,,PSP,,0.381
2020,Nee Soon,GRC,,PAP,,0.619
2020,Pasir Ris - Punggol,GRC,,SDA,,0.2367
2020,Pasir Ris - Punggol,GRC,,PV,,0.1217
2020,Pasir Ris - Punggol,GRC,,PAP,,0.6416
2020,Pioneer,SMC,,Independent,,0.0278
2020,Pioneer,SMC,,PAP,,0.62
2020,Pioneer,SMC,,NSP,,0.3522
2020,Potong Pasir,SMC,,SPP,,0.3933
2020,Potong Pasir,SMC,,PAP,,0.6067
2020,Punggol West,SMC,,PAP,,0.6098
2020,Punggol West,SMC,,WP,,0.3902
2020,Radin Mas,SMC,,RP,,0.2599
2020,Radin Mas,SMC,,PAP,,0.7401
2020,Sembawang,GRC,,NSP,,0.3271
2020,Sembawang,GRC,,PAP,,0.6729
2020,Sengkang,GRC,,WP,,0.5212
2020,Sengkang,GRC,,PAP,,0.4788
2020,Tampines,GRC,,PAP,,0.6641
2020,Tampines,GRC,,NSP,,0.3359
2020,Tanjong Pagar,GRC,,PSP,,0.369
2020,Tanjong Pagar,GRC,,PAP,,0.631
2020,West Coast,GRC,,PAP,,0.5168
2020,West Coast,GRC,,PSP,,0.4832
2020,Yio Chu Kang,SMC,,PSP,,0.3918
2020,Yio Chu Kang,SMC,,PAP,,0.6082
2020,Yuhua,SMC,,PAP,,0.7054
2020,Yuhua,SMC,,SDP,,0.2946
